PtrovPyV3	Pan troglodytes polyomavirus 4 isolate 3161	Alphapolyomavirus
PtrovPyV4	Pan troglodytes polyomavirus 5 isolate 3147	Alphapolyomavirus
PtrovPyV5	Pan troglodytes polyomavirus 6 isolate 5743	Alphapolyomavirus
PtrosPyV2	Pan troglodytes polyomavirus 7 isolate 6350	Alphapolyomavirus
PtrotPyV1	Pan troglodytes troglodytes polyomavirus 1 isolate F514.1	Unassigned
PtrovPyV1a	Pan troglodytes verus polyomavirus 1a isolate 6444	Alphapolyomavirus
PtrovPyV8	Pan troglodytes verus polyomavirus 8 isolate Ch-Regina	Betapolyomavirus
PantheraPyV	Panthera leo polyomavirus 1 isolate 3884	Unassigned
PhilantombaPyV	Philantomba monticola polyomavirus 1 isolate 9781 GN365	Unassigned
PbadPyV2	Piliocolobus badius polyomavirus 2 isolate 5947	Alphapolyomavirus
PrufPyV1	Piliocolobus rufomitratus polyomavirus 1 isolate 4601	Alphapolyomavirus
PyVCA1	Polyomavirus sp. isolate poly-CA1	Unassigned
PlnBatPyV	Pomona leaf-nosed bat associated polyomavirus 1 complete genome	Unassigned
PorcPyV	Porcine polyomavirus strain 180230	Unassigned
PotamochoerusPyV	Potamochoerus porcus polyomavirus 1 isolate 9780 PI225	Unassigned
PteronotusPyV	Pteronotus davyi polyomavirus 1 isolate GTM203	Betapolyomavirus
BatPyV2b	Pteronotus parnellii polyomavirus 1 isolate R266	Betapolyomavirus
RacPyV	Raccoon polyomavirus strain R45	Alphapolyomavirus
PlotPyV1	Raccoon-associated polyomavirus 2 isolate Rac2	Unassigned
RnorPyV1	Rattus norvegicus polyomavirus 1 isolate 3690	Alphapolyomavirus
RatPyV	Rattus norvegicus polyomavirus 2 isolate 1014-2016-2	Betapolyomavirus
RbPyV2	Rhinolophus blasii polyomavirus 2 DNA	Unassigned
RhPyV1	Rhinolophus hildebrandtii polyomavirus 1 DNA	Unassigned
RsPyV1	Rhinolophus simulator polyomavirus 1 DNA	Unassigned
RsPyV2	Rhinolophus simulator polyomavirus 2 DNA	Unassigned
RsPyV3	Rhinolophus simulator polyomavirus 3 DNA	Unassigned
RaegPyV1	Rousettus aegyptiacus polyomavirus 1 DNA	Betapolyomavirus
SsciPyV1	Saimiri sciureus polyomavirus 1	Betapolyomavirus
otterPyV	Sea otter polyomavirus 1 isolate 6831-13	Unassigned
SheepPyV	Sheep polyomavirus 1 isolate VH4-S14 from USA	Unassigned
SV12	Simian virus 12	Unassigned
SV40	Simian virus 40 complete genome	Betapolyomavirus
SaraPyV1	Sorex araneus polyomavirus 1 isolate GER_#4608_MU/06/0215/MV	Alphapolyomavirus
ScorPyV1	Sorex minutus polyomavirus 1 isolate GER_#7607_MU10/2265	Alphapolyomavirus
SaurPyV1	Sparus aurata polyomavirus 1	Unassigned
SquiPyV	Squirrel monkey polyomavirus	Betapolyomavirus
STLPyV	STL polyomavirus strain MA138	Deltapolyomavirus
BatPyV3a-B0454	Sturnira lilium polyomavirus 1 isolate B0454	Alphapolyomavirus
OraPyV-Sum	Sumatran orang-utan polyomavirus complete genome	Alphapolyomavirus
susScorfPyV	Sus scrofa polyomavirus 1 isolate 471	Unassigned
TbraPyV1	Tadarida brasiliensis polyomavirus 1	Unassigned
TbraPyV2	Tadarida brasiliensis polyomavirus 2	Unassigned
TberPyV1	Trematomus bernacchii polyomavirus 1 isolate BIS330	Unassigned
SspPyV	Trematomus polyomavirus 1 isolate PES6	Unassigned
TSPyV	Trichodysplasia spinulosa-associated polyomavirus	Alphapolyomavirus
TglisPyV	Tupaia glis polyomavirus 1 isolate 4373 Thai 87	Unassigned
AlPyV	Vicugna pacos polyomavirus 1 isolate UCD1	Betapolyomavirus
WU virus; WUPyV	WU Polyomavirus	Betapolyomavirus
YbPyV1	Yellow baboon polyomavirus 1 DNA	Alphapolyomavirus
YbPyV2	Yellow baboon polyomavirus 2 DNA	Betapolyomavirus
