"RefSeq number"	"Virus name"	"Species"	"Virus name"	"Isolate"	"Accession number"	"RefSeq number"	"Virus Abbrev."	"taxo"
"NC_019844"	"Chlorocebus pygerythrus polyomavirus 1 DNA"	"Chlorocebus pygerythrus polyomavirus 1"	"vervet monkey polyomavirus 1"	"VMS96"	"AB767298"	"NC_019844"	"VmPyV1"	"alpha"
"NC_025896"	"Chlorocebus pygerythrus polyomavirus 2 DNA"	"Chlorocebus pygerythrus polyomavirus 2"	"vervet monkey polyomavirus 2"	"VMK96"	"AB767299"	"NC_025896"	"VmPyV2"	"beta"
"NC_025898"	"Chlorocebus pygerythrus polyomavirus 3 DNA"	"Chlorocebus pygerythrus polyomavirus 3"	"vervet monkey polyomavirus 3"	"VMS95/VMS97"	"AB767297"	"NC_025898"	"VmPyV3"	"alpha"
"NC_028119"	"Common vole polyomavirus isolate KS13/0947"	"Microtus arvalis polyomavirus 1"	"Microtus arvalis polyomavirus 1"	"KS13/0947"	"KR612373"	"NC_028119"	"CVPyV"	"beta"
"NC_007922"	"Crow polyomavirus"	"Corvus monedula polyomavirus 1"	"crow polyomavirus"		"DQ192570"	"NC_007922"	"CpyV"	"gamma"
"NC_028122"	"Desmodus rotundus polyomavirus 1 isolate AT7"	"Desmodus rotundus polyomavirus 1"	"bat polyomavirus 2a"	"AT7"	"JQ958892"	"NC_028122"	"BatPyV2a"	"beta"
"NC_025899"	"Dolphin polyomavirus 1 isolate DPyV-1/Trachea/2010"			"DpyV-1/Trachea/2010"		"NC_025899"	"DolPyV1"	"unassigned"
"NC_020068"	"Eidolon polyomavirus 1 isolate KY270"	"Eidolon helvum polyomavirus 1"	"Eidolon polyomavirus 1"	"KY270"	"JX520660"	"NC_020068"	"EidolonPyV"	"alpha"
"NC_017982"	"Equus caballus polyomavirus 1 isolate CU03"	"Equus caballus polyomavirus 1"	"equine polyomavirus"	"CU03"	"JQ412134"	"NC_017982"	"EPyV"	"beta"
"NC_039052"	"Erythrura gouldiae polyomavirus 1 strain 1209"	"Erythrura gouldiae polyomavirus 1"	"Erythrura gouldiae polyomavirus 1"	1209	"KT302407"	"NC_039052"	"EgouPyV1"	"gamma"
